ID,Cidade,Area,Quartos,Banheiros,Vagas Garagem,Andar,Animal,Mobiliado,Condominio,Aluguel,IPTU,Seguro Incendio,Total
0,True,240.0,3,3,4,0,True,True,0.0,8000.0,1000.0,121.0,9121.0
1,False,64.0,2,1,1,10,True,False,540.0,820.0,122.0,11.0,1493.0
2,True,443.0,5,5,4,3,True,True,4172.0,7000.0,1417.0,89.0,12680.0
6,True,55.0,1,1,1,2,True,True,1950.0,5000.0,375.0,64.0,7389.0
7,True,55.0,2,2,1,2,True,False,600.0,1300.0,67.0,17.0,1984.0
8,True,82.0,3,1,1,3,True,True,828.0,2000.0,109.0,26.0,2963.0
9,True,32.0,1,1,1,16,True,False,533.0,2900.0,0.0,37.0,3470.0
10,False,60.0,1,1,0,6,True,False,480.0,720.0,20.0,10.0,1230.0
11,False,64.0,1,2,1,4,True,True,406.0,1550.0,0.0,7.0,1963.0
12,True,20.0,1,1,0,4,True,True,602.0,1800.0,130.0,23.0,2555.0
13,True,375.0,4,5,5,1,True,False,4793.0,15000.0,2805.0,191.0,22790.0
14,True,92.0,2,1,1,7,False,True,690.0,3950.0,0.0,51.0,4691.0
15,False,56.0,2,1,1,1,True,False,345.0,950.0,11.0,13.0,1319.0
16,False,188.0,2,3,8,0,True,False,0.0,3010.0,584.0,46.0,3640.0
17,True,100.0,3,2,1,0,True,False,0.0,3500.0,260.0,53.0,3813.0
18,True,192.0,3,3,2,13,True,False,2100.0,7800.0,634.0,99.0,10630.0
19,True,93.0,3,2,1,10,True,False,1497.0,3500.0,227.0,45.0,5269.0
20,True,155.0,3,3,2,0,True,False,0.0,2650.0,233.0,40.0,2923.0
21,True,80.0,2,2,0,9,False,False,600.0,2550.0,46.0,33.0,3229.0
22,True,65.0,2,2,2,14,False,False,907.0,3500.0,0.0,45.0,4452.0
23,True,320.0,3,3,4,0,True,False,0.0,9000.0,1000.0,136.0,10140.0
24,True,180.0,3,5,3,3,True,False,2900.0,8100.0,0.0,103.0,11100.0
25,True,31.0,1,1,1,4,True,False,272.0,3200.0,64.0,41.0,3577.0
26,True,105.0,4,2,2,3,True,False,1659.0,6500.0,400.0,83.0,8642.0
27,True,300.0,3,4,2,9,True,True,2000.0,14000.0,1084.0,178.0,17260.0
28,False,150.0,3,2,2,13,True,False,1370.0,1800.0,250.0,23.0,3443.0
29,True,130.0,3,3,2,0,True,False,0.0,6000.0,84.0,91.0,6175.0
30,True,70.0,2,1,0,1,True,False,521.0,3000.0,50.0,39.0,3610.0
31,True,120.0,3,1,4,0,True,False,0.0,3500.0,234.0,53.0,3787.0
32,True,250.0,3,4,2,0,True,False,300.0,3480.0,360.0,53.0,4193.0
33,True,50.0,1,1,0,1,True,False,325.0,1550.0,25.0,20.0,1920.0
36,False,94.0,3,3,2,1,True,False,750.0,2200.0,192.0,28.0,3170.0
37,True,176.0,3,4,3,4,True,False,1600.0,6500.0,775.0,83.0,8958.0
38,True,180.0,3,4,5,0,True,False,0.0,3300.0,266.0,50.0,3616.0
39,True,191.0,3,3,4,1,True,True,2605.0,15000.0,1299.0,191.0,19100.0
40,True,25.0,1,1,0,14,True,False,257.0,1698.0,0.0,22.0,1977.0
41,True,800.0,4,5,4,9,True,False,6000.0,15000.0,3334.0,191.0,24530.0
42,True,340.0,3,4,3,0,True,True,0.0,9800.0,392.0,148.0,10340.0
43,True,90.0,2,1,0,0,False,False,0.0,1450.0,50.0,22.0,1522.0
44,False,650.0,5,4,8,0,True,True,0.0,8500.0,442.0,128.0,9070.0
45,True,100.0,2,2,0,1,True,False,0.0,2700.0,265.0,35.0,3000.0
