,Cidade,Area,Quartos,Banheiros,Vagas Garagem,Andar,Animal,Mobiliado
0,1,240,3,3,4,-,True,True
1,0,64,2,1,1,10,True,False
2,1,443,5,5,4,3,True,True
3,1,,2,2,1,12,True,False
4,1,,1,1,0,-,False,False
5,1,,1,1,0,2,True,False
6,1,55,1,1,1,2,True,True
7,1,55,2,2,1,2,True,False
8,1,82,3,1,1,3,True,True
9,1,32,1,1,1,16,True,False
10,0,60,1,1,0,6,True,False
11,0,64,1,2,1,4,True,True
12,1,20,1,1,0,4,True,True
13,1,375,4,5,5,1,True,False
14,1,92,2,1,1,7,False,True
15,0,56,2,1,1,1,True,False
16,0,188,2,3,8,-,True,False
17,1,100,3,2,1,-,True,False
18,1,192,3,3,2,13,True,False
19,1,93,3,2,1,10,True,False
20,1,155,3,3,2,-,True,False
21,1,80,2,2,0,9,False,False
22,1,65,2,2,2,14,False,False
23,1,320,3,3,4,-,True,False
24,1,180,3,5,3,3,True,False
25,1,31,1,1,1,4,True,False
26,1,105,4,2,2,3,True,False
27,1,300,3,4,2,9,True,True
28,0,150,3,2,2,13,True,False
29,1,130,3,3,2,-,True,False
30,1,70,2,1,0,1,True,False
31,1,120,3,1,4,-,True,False
32,1,250,3,4,2,-,True,False
33,1,50,1,1,0,1,True,False
34,1,,3,3,3,3,True,False
35,1,,4,4,2,-,False,False
36,0,94,3,3,2,1,True,False
37,1,176,3,4,3,4,True,False
38,1,180,3,4,5,-,True,False
39,1,191,3,3,4,1,True,True
40,1,25,1,1,0,14,True,False
41,1,800,4,5,4,9,True,False
42,1,340,3,4,3,-,True,True
43,1,90,2,1,0,-,False,False
44,0,650,5,4,8,-,True,True
45,1,100,2,2,0,1,True,False
46,1,230,4,4,4,1,True,True
47,1,190,2,3,2,-,True,False
48,1,205,4,4,6,5,True,False
49,1,96,3,3,2,8,True,False
50,1,396,4,4,4,-,True,False
51,0,74,3,2,1,7,True,False
52,0,30,1,1,0,5,False,True
53,1,64,3,2,1,7,True,False
54,1,105,3,2,2,1,True,True
55,1,50,1,2,1,10,True,True
56,1,60,2,1,0,3,False,False
57,1,50,2,1,1,6,True,True
58,1,90,2,2,0,-,True,False
59,1,130,3,2,1,8,False,True
60,1,20,1,1,0,1,False,True
61,1,400,4,3,2,-,True,False
62,1,220,3,3,5,-,True,False
63,1,750,7,6,5,-,True,True
64,1,20,1,1,0,-,True,True
65,0,140,3,2,2,15,False,False
66,1,22,1,1,0,-,False,False
67,1,345,2,3,2,4,False,False
68,0,46,2,1,1,3,False,False
69,1,35,1,1,1,2,False,True
70,0,72,2,2,1,2,True,False
71,1,60,1,1,2,2,False,False
72,1,180,3,2,4,-,False,True
73,1,83,3,2,1,9,False,True
74,1,50,1,1,0,1,True,False
75,1,38,1,1,1,14,False,True
76,1,140,3,3,2,2,True,False
77,0,62,2,1,1,3,True,False
78,1,70,1,1,0,2,True,True
79,0,55,1,1,0,14,True,False
80,0,60,2,1,1,1,False,False
81,1,85,2,2,1,6,True,False
82,1,134,3,3,3,11,False,False
83,1,200,3,2,2,19,True,False
84,1,170,3,2,2,-,True,True
85,1,46,1,1,2,16,True,True
86,1,20,1,1,0,4,True,True
87,1,58,2,2,1,5,False,True
88,1,96,3,2,3,4,True,False
89,1,190,3,3,3,6,True,False
90,1,87,3,2,4,14,True,False
91,1,42,1,1,0,5,True,False
92,1,145,3,3,1,10,True,True
