,Condominio,Aluguel,IPTU,Seguro Incendio,Total,Cidade,Area
0,R$0,"R$8,000","R$1,000",R$121,"R$9,121",1,240
1,R$540,R$820,R$122,R$11,"R$1,493",0,64
2,"R$4,172","R$7,000","R$1,417",R$89,"R$12,680",1,443
3,R$700,"R$1,250",R$150,R$16,"R$2,116",1,73
4,R$0,"R$1,200",R$41,R$16,"R$1,257",1,19
5,R$0,"R$2,200",R$42,R$28,"R$2,270",1,13
6,"R$1,950","R$5,000",R$375,R$64,"R$7,389",1,55
7,R$600,"R$1,300",R$67,R$17,"R$1,984",1,55
8,R$828,"R$2,000",R$109,R$26,"R$2,963",1,82
9,R$533,"R$2,900",R$0,R$37,"R$3,470",1,32
10,R$480,R$720,R$20,R$10,"R$1,230",0,60
11,R$406,"R$1,550",R$0,R$7,"R$1,963",0,64
12,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
13,"R$4,793","R$15,000","R$2,805",R$191,"R$22,790",1,375
14,R$690,"R$3,950",R$0,R$51,"R$4,691",1,92
15,R$345,R$950,R$11,R$13,"R$1,319",0,56
16,R$0,"R$3,010",R$584,R$46,"R$3,640",0,188
17,R$0,"R$3,500",R$260,R$53,"R$3,813",1,100
18,"R$2,100","R$7,800",R$634,R$99,"R$10,630",1,192
19,"R$1,497","R$3,500",R$227,R$45,"R$5,269",1,93
20,R$0,"R$2,650",R$233,R$40,"R$2,923",1,155
21,R$600,"R$2,550",R$46,R$33,"R$3,229",1,80
22,R$907,"R$3,500",R$0,R$45,"R$4,452",1,65
23,R$0,"R$9,000","R$1,000",R$136,"R$10,140",1,320
24,"R$2,900","R$8,100",R$0,R$103,"R$11,100",1,180
25,R$272,"R$3,200",R$64,R$41,"R$3,577",1,31
26,"R$1,659","R$6,500",R$400,R$83,"R$8,642",1,105
27,"R$2,000","R$14,000","R$1,084",R$178,"R$17,260",1,300
28,"R$1,370","R$1,800",R$250,R$23,"R$3,443",0,150
29,R$0,"R$6,000",R$84,R$91,"R$6,175",1,130
30,R$521,"R$3,000",R$50,R$39,"R$3,610",1,70
31,R$0,"R$3,500",R$234,R$53,"R$3,787",1,120
32,R$300,"R$3,480",R$360,R$53,"R$4,193",1,250
33,R$325,"R$1,550",R$25,R$20,"R$1,920",1,50
34,"R$4,132","R$3,800",R$952,R$49,"R$8,933",1,240
35,Sem info,"R$6,600",R$0,R$100,"R$6,700",1,250
36,R$750,"R$2,200",R$192,R$28,"R$3,170",0,94
37,"R$1,600","R$6,500",R$775,R$83,"R$8,958",1,176
38,Sem info,"R$3,300",R$266,R$50,"R$3,616",1,180
39,"R$2,605","R$15,000","R$1,299",R$191,"R$19,100",1,191
40,R$257,"R$1,698",R$0,R$22,"R$1,977",1,25
41,"R$6,000","R$15,000","R$3,334",R$191,"R$24,530",1,800
42,R$0,"R$9,800",R$392,R$148,"R$10,340",1,340
43,R$0,"R$1,450",R$50,R$22,"R$1,522",1,90
44,R$0,"R$8,500",R$442,R$128,"R$9,070",0,650
45,R$0,"R$2,700",R$265,R$35,"R$3,000",1,100
46,"R$2,300","R$13,500","R$1,084",R$172,"R$17,060",1,230
47,R$0,"R$13,050","R$1,284",R$197,"R$14,530",1,190
48,"R$2,450","R$2,720",R$959,R$35,"R$6,164",1,205
49,R$866,"R$1,790",R$90,R$23,"R$2,769",1,96
50,R$0,"R$10,000",R$750,R$151,"R$10,900",1,396
51,R$650,"R$1,600",R$250,R$21,"R$2,521",0,74
52,R$380,R$500,R$10,R$7,R$897,0,30
53,R$522,"R$1,400",R$65,R$18,"R$2,005",1,64
54,"R$1,544","R$7,800",R$488,R$99,"R$9,931",1,105
55,"R$1,050","R$5,900",R$259,R$75,"R$7,284",1,50
56,R$400,"R$1,300",R$0,R$17,"R$1,717",1,60
57,R$585,"R$2,000",R$49,R$26,"R$2,660",1,50
58,R$0,"R$1,700",R$38,R$26,"R$1,764",1,90
59,"R$1,200","R$7,500",R$417,R$96,"R$9,213",1,130
60,Incluso,"R$1,950",R$0,R$25,"R$1,975",1,20
61,R$0,"R$5,650",R$338,R$85,"R$6,073",1,400
62,R$0,"R$7,500",R$0,R$113,"R$7,613",1,220
63,R$0,"R$5,800",R$559,R$88,"R$6,447",1,750
64,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
65,R$998,"R$2,100",R$283,R$27,"R$3,408",0,140
66,R$250,"R$1,080",R$14,R$14,"R$1,358",1,22
67,"R$3,655","R$12,000",R$783,R$153,"R$16,590",1,345
68,R$250,"R$1,100",R$53,R$5,"R$1,408",0,46
69,R$550,"R$3,250",R$30,R$42,"R$3,872",1,35
70,R$500,"R$1,200",R$97,R$16,"R$1,813",0,72
71,"R$3,398","R$1,900",R$288,R$25,"R$5,611",1,60
72,R$0,"R$11,000",R$667,R$166,"R$11,830",1,180
73,R$805,"R$3,300",R$80,R$42,"R$4,227",1,83
74,R$519,"R$1,550",R$28,R$20,"R$2,117",1,50
75,"R$1,620","R$3,020",R$279,R$39,"R$4,958",1,38
76,"R$1,300","R$2,800",R$292,R$36,"R$4,428",1,140
77,R$485,R$980,R$48,R$13,"R$1,526",0,62
78,"R$1,500","R$4,000",R$284,R$51,"R$5,835",1,70
79,R$600,"R$1,100",R$60,R$14,"R$1,774",0,55
80,R$430,R$815,R$20,R$6,"R$1,271",0,60
81,"R$1,250","R$1,738",R$261,R$23,"R$3,272",1,85
82,"R$1,655","R$8,000",R$380,R$102,"R$10,140",1,134
83,"R$2,573","R$10,000","R$1,121",R$127,"R$13,820",1,200
84,R$0,"R$3,900",R$267,R$59,"R$4,226",1,170
85,"R$2,210","R$6,220",R$255,R$79,"R$8,764",1,46
86,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
87,"R$1,000","R$4,500",R$144,R$58,"R$5,702",1,58
88,"R$1,024","R$2,350",R$313,R$30,"R$3,717",1,96
